city,vendor_id,brand_name,vendor_name,vertical,latitude,longitude
Lima,224964,Papeador,Papeador 1,restaurants,-12.1440000534058,-77.0148010253906
Lima,225049,Plaza Vea,Delivea Guardia Civil,restaurants,-12.1728000640869,-76.9926986694336
Lima,237431,AlaCasa Pollos & Parrillas,Alacasa Pollos Parrillas,restaurants,-12.0770998001099,-77.0324020385742
Lima,243355,Sanúa,Sanua,groceries,-12.019599914550803,-76.9944000244141
Lima,254358,Ketsu'maki Sushi Bar,Ketsumaki Sushi Bar La Molina,restaurants,-12.065699577331502,-76.9548034667969
Lima,254672,Pizza Dypsi,Pizza Dypsi,restaurants,-12.0277996063232,-77.0567016601562
Lima,260256,San Fernando,San Fernando Lince,groceries,-12.0866003036499,-77.0330963134766
Lima,260279,De La Selva Su Huarique,De La Selva Su Huarique Brena,restaurants,-12.0583000183106,-77.0464019775391
Lima,261806,Pedidosya Market,Pedidosya Market Drinks San Miguel,darkstores,-12.0832996368408,-77.0962982177734
Lima,262440,Barra Marina,Barra Marina Miraflores,restaurants,-12.1301002502441,-77.0211029052734
Lima,262801,,Senor Michi,cross_vertical,-12.1803998947144,-76.9973983764648
Lima,264122,Las Delicias Cakes,Las Delicias Cakes,restaurants,-12.1770000457764,-77.0026016235352
Lima,266024,Home To Home Cocktails,Home To Home Cocktailscourier,courier_business,-12.130499839782702,-77.0299987792969
Lima,266770,Canevaro 163,Canevaro 163,cross_vertical,-12.0839004516602,-77.0363006591797
Lima,267589,Estoschamitos,Estoschamitos,restaurants,-12.0852003097534,-77.0444030761719
Lima,267634,Pizza Casera - Siempre Caliente,Pizza Casera Siempre Caliente,restaurants,-12.055999755859398,-76.9387969970703
Lima,275815,Max Pro,Max Pro,pharmacies,-12.0876998901367,-77.0578002929688
Lima,278242,El Organico,El Organico,groceries,-12.092000007629398,-76.9498977661133
Lima,281645,Forever,Forever Surquillo,cross_vertical,-12.1103000640869,-77.0102005004883
Lima,287542,El Chinito,El Chinito Jesus Maria,restaurants,-12.072600364685098,-77.0505981445312
Lima,289641,Panchos-courier,Panchoscourier,courier_business,-12.124099731445302,-77.0279006958008
